exp_no,activity,activity_no,reps,start_index,end_index
21,Stand up from sitting,7,8,1201,1248
21,Stand up from sitting,7,9,1305,1342
21,Stand up from sitting,7,10,1446,1477
21,Stand up from sitting,7,11,1581,1633
21,Stand up from sitting,7,12,1748,1806
21,Stand up from sitting,7,13,1993,2040
21,Stand up from sitting,7,14,2155,2202
21,Stand up from sitting,7,15,2306,2348
21,Stand up from sitting,7,16,2436,2488
21,Sitting down from standing,12,1,117,158
21,Sitting down from standing,12,2,294,325
21,Sitting down from standing,12,3,461,497
21,Sitting down from standing,12,4,627,680
21,Sitting down from standing,12,5,784,826
21,Sitting down from standing,12,6,940,992
21,Sitting down from standing,12,7,1117,1159
21,Sitting down from standing,12,8,1253,1289
21,Sitting down from standing,12,9,1368,1430
21,Sitting down from standing,12,10,1519,1555
21,Sitting down from standing,12,11,1680,1722
21,Sitting down from standing,12,12,1858,1946
21,Sitting down from standing,12,13,2066,2103
21,Sitting down from standing,12,14,2223,2285
21,Sitting down from standing,12,15,2368,2410
21,Sitting down from standing,12,16,2514,2546
22,Reading a book,1,1,29,1301
23,Writing on a notebook,2,1,9,1376
24,Typing,3,1,5,1315
25,Browsing,4,1,10,1420
26,Moving head and body,5,1,28,1345
27,Moving chair,6,1,104,1529
28,Stand up from sitting,7,1,152,182
28,Stand up from sitting,7,2,251,296
28,Stand up from sitting,7,3,424,488
28,Stand up from sitting,7,4,622,681
28,Stand up from sitting,7,5,835,899
28,Stand up from sitting,7,6,1032,1067
28,Stand up from sitting,7,7,1230,1304
28,Stand up from sitting,7,8,1418,1477
28,Stand up from sitting,7,9,1591,1650
28,Stand up from sitting,7,10,1705,1759
28,Stand up from sitting,7,11,1868,1932
28,Stand up from sitting,7,12,2086,2120
28,Stand up from sitting,7,13,2254,2323
28,Stand up from sitting,7,14,2417,2466
28,Sitting down from standing,12,1,197,231
28,Sitting down from standing,12,2,350,390
28,Sitting down from standing,12,3,533,592
28,Sitting down from standing,12,4,755,810
28,Sitting down from standing,12,5,958,1003
28,Sitting down from standing,12,6,1156,1200
28,Sitting down from standing,12,7,1359,1403
28,Sitting down from standing,12,8,1512,1571
28,Sitting down from standing,12,9,1655,1700
28,Sitting down from standing,12,10,1784,1843
28,Sitting down from standing,12,11,1967,2016
28,Sitting down from standing,12,12,2140,2214
28,Sitting down from standing,12,13,2338,2392
28,Sitting down from standing,12,14,2486,2575
29,Reading a book,1,1,13,1374
30,Writing on a notebook,2,1,13,1497
31,Typing,3,1,16,1400
32,Browsing,4,1,23,1477
33,Moving head and body,5,1,34,1422
34,Moving chair,6,1,32,1519
35,Stand up from sitting,7,1,19,33
35,Stand up from sitting,7,2,138,181
35,Stand up from sitting,7,3,240,279
35,Stand up from sitting,7,4,367,399
35,Stand up from sitting,7,5,480,504
35,Stand up from sitting,7,6,585,621
35,Stand up from sitting,7,7,698,747
35,Stand up from sitting,7,8,874,906
35,Stand up from sitting,7,9,1008,1039
35,Stand up from sitting,7,10,1226,1289
35,Stand up from sitting,7,11,1356,1388
35,Stand up from sitting,7,12,1465,1483
35,Stand up from sitting,7,13,1560,1620
35,Stand up from sitting,7,14,1677,1722
35,Stand up from sitting,7,15,1779,1849
35,Stand up from sitting,7,16,1987,2025
35,Stand up from sitting,7,17,2113,2149
35,Stand up from sitting,7,18,2219,2254
35,Stand up from sitting,7,19,2342,2367
35,Stand up from sitting,7,20,2469,2494
35,Sitting down from standing,12,1,43,68
35,Sitting down from standing,12,2,191,226
35,Sitting down from standing,12,3,304,335
35,Sitting down from standing,12,4,406,434
35,Sitting down from standing,12,5,529,557
35,Sitting down from standing,12,6,649,677
35,Sitting down from standing,12,7,825,860
35,Sitting down from standing,12,8,948,976
35,Sitting down from standing,12,9,1085,1173
35,Sitting down from standing,12,10,1303,1332
35,Sitting down from standing,12,11,1413,1451
35,Sitting down from standing,12,12,1490,1532
35,Sitting down from standing,12,13,1634,1666
35,Sitting down from standing,12,14,1768,1739
35,Sitting down from standing,12,15,1906,1955
35,Sitting down from standing,12,16,2071,2099
35,Sitting down from standing,12,17,2173,2212
35,Sitting down from standing,12,18,2265,2289
35,Sitting down from standing,12,19,2370,2437
35,Sitting down from standing,12,20,2508,2522
36,Reading a book,1,1,21,1397
37,Writing on a notebook,2,1,13,1384
38,Typing,3,1,18,1419
39,Browsing,4,1,16,1408
40,Moving head and body,5,1,22,1421
41,Moving chair,6,1,26,1375
42,Stand up from sitting,7,1,51,81
42,Stand up from sitting,7,2,186,212
42,Stand up from sitting,7,3,317,348
42,Stand up from sitting,7,4,445,475
42,Stand up from sitting,7,5,595,629
42,Stand up from sitting,7,6,719,742
42,Stand up from sitting,7,7,854,884
42,Stand up from sitting,7,8,1001,1034
42,Stand up from sitting,7,9,1136,1173
42,Stand up from sitting,7,10,1282,1312
42,Stand up from sitting,7,11,1417,1459
42,Stand up from sitting,7,12,1549,1582
42,Stand up from sitting,7,13,1691,1733
42,Stand up from sitting,7,14,1826,1868
42,Stand up from sitting,7,15,1950,1992
42,Stand up from sitting,7,16,2093,2131
42,Stand up from sitting,7,17,2232,2269
42,Sitting down from standing,12,1,119,152
42,Sitting down from standing,12,2,257,291
42,Sitting down from standing,12,3,381,423
42,Sitting down from standing,12,4,513,565
42,Sitting down from standing,12,5,659,697
42,Sitting down from standing,12,6,787,828
42,Sitting down from standing,12,7,929,971
42,Sitting down from standing,12,8,1068,1110
42,Sitting down from standing,12,9,1211,1252
42,Sitting down from standing,12,10,1342,1387
42,Sitting down from standing,12,11,1481,1530
42,Sitting down from standing,12,12,1620,1658
42,Sitting down from standing,12,13,1766,1808
42,Sitting down from standing,12,14,1898,1928
42,Sitting down from standing,12,15,2018,2059
42,Sitting down from standing,12,16,2157,2198
42,Sitting down from standing,12,17,2288,2326
43,Standing,8,1,34,1406
44,Walking,9,1,41,1986
45,Running,10,1,34,1504
46,Taking stairs,11,1,7,550
47,Standing,8,1,20,1376
48,Walking,9,1,15,1224
49,Running,10,1,26,1398
50,Taking stairs,11,1,13,855
51,Standing,8,1,18,1403
52,Walking,9,1,37,1391
53,Running,10,1,39,1335
54,Taking stairs,11,1,4,508
55,Standing,8,1,18,1432
56,Walking,9,1,41,1436
57,Running,10,1,25,1452
58,Taking stairs,11,1,13,777
59,Standing,8,1,20,1214
60,Walking,9,1,34,1580
61,Running,10,1,28,1155
62,Taking stairs,11,1,20,719
63,Standing,8,1,51,1369
64,Walking,9,1,47,1825
65,Running,10,1,38,1759
66,Taking stairs,11,1,12,814
