exp_no,activity,activity_no,reps,start_index,end_index
21,Stand up from sitting,7,4,2822,3091
21,Stand up from sitting,7,5,3608,3855
21,Stand up from sitting,7,6,4394,4619
21,Stand up from sitting,7,7,5270,5540
21,Stand up from sitting,7,8,6146,6371
21,Stand up from sitting,7,9,6955,7225
21,Stand up from sitting,7,10,7674,7854
21,Stand up from sitting,7,11,8528,8775
21,Stand up from sitting,7,12,9292,9494
21,Stand up from sitting,7,13,10168,10347
21,Stand up from sitting,7,14,10954,11179
21,Stand up from sitting,7,15,11695,11898
21,Stand up from sitting,7,16,12347,12589
21,Sitting down from standing,12,1,592,979
21,Sitting down from standing,12,2,1541,1923
21,Sitting down from standing,12,3,2372,2687
21,Sitting down from standing,12,4,3203,3451
21,Sitting down from standing,12,5,3990,4282
21,Sitting down from standing,12,6,4731,5158
21,Sitting down from standing,12,7,5697,6057
21,Sitting down from standing,12,8,6551,6865
21,Sitting down from standing,12,9,7337,7584
21,Sitting down from standing,12,10,8101,8303
21,Sitting down from standing,12,11,8910,9157
21,Sitting down from standing,12,12,9606,9921
21,Sitting down from standing,12,13,10460,10752
21,Sitting down from standing,12,14,11313,11628
21,Sitting down from standing,12,15,11987,12279
21,Sitting down from standing,12,16,12661,12956
22,Reading a book,1,1,216,6551
23,Writing on a notebook,2,1,77,6564
24,Typing,3,1,36,6645
25,Browsing,4,1,121,7171
26,Moving head and body,5,1,143,6806
27,Moving chair,6,1,104,7728
28,Stand up from sitting,7,1,792,1090
28,Stand up from sitting,7,2,1746,2160
28,Stand up from sitting,7,3,2697,3014
28,Stand up from sitting,7,4,3868,4185
28,Stand up from sitting,7,5,4746,5087
28,Stand up from sitting,7,6,5852,6154
28,Stand up from sitting,7,7,6860,7112
28,Stand up from sitting,7,8,7742,7994
28,Stand up from sitting,7,9,8700,8977
28,Stand up from sitting,7,10,9532,9809
28,Stand up from sitting,7,11,10540,10817
28,Stand up from sitting,7,12,11448,11750
28,Stand up from sitting,7,13,12355,12658
28,Stand up from sitting,7,14,13237,13511
28,Sitting down from standing,12,1,1288,1575
28,Sitting down from standing,12,2,2307,2599
28,Sitting down from standing,12,3,3185,3526
28,Sitting down from standing,12,4,4307,4600
28,Sitting down from standing,12,5,5171,5599
28,Sitting down from standing,12,6,6204,6658
28,Sitting down from standing,12,7,7213,7566
28,Sitting down from standing,12,8,8070,8524
28,Sitting down from standing,12,9,9028,9330
28,Sitting down from standing,12,10,9910,10288
28,Sitting down from standing,12,11,10944,11246
28,Sitting down from standing,12,12,11826,12154
28,Sitting down from standing,12,13,12784,13111
28,Sitting down from standing,12,14,13590,13908
29,Reading a book,1,1,169,6977
30,Writing on a notebook,2,1,621,7252
31,Typing,3,1,95,6998
32,Browsing,4,1,166,7282
33,Moving head and body,5,1,148,7255
34,Moving chair,6,1,161,7717
35,Stand up from sitting,7,1,571,764
35,Stand up from sitting,7,2,1220,1446
35,Stand up from sitting,7,3,1898,2153
35,Stand up from sitting,7,4,2605,2919
35,Stand up from sitting,7,5,3340,3566
35,Stand up from sitting,7,6,4046,4329
35,Stand up from sitting,7,7,4809,5035
35,Stand up from sitting,7,8,5487,5657
35,Stand up from sitting,7,9,6052,6278
35,Stand up from sitting,7,10,6618,6759
35,Stand up from sitting,7,11,7183,7409
35,Stand up from sitting,7,12,7776,7974
35,Stand up from sitting,7,13,8370,8454
35,Stand up from sitting,7,14,8878,9104
35,Stand up from sitting,7,15,9433,9613
35,Stand up from sitting,7,16,10009,10207
35,Stand up from sitting,7,17,10489,10687
35,Stand up from sitting,7,18,11026,11478
35,Stand up from sitting,7,19,11789,12510
35,Stand up from sitting,7,20,12354,12524
35,Sitting down from standing,12,1,860,1095
35,Sitting down from standing,12,2,1525,1757
35,Sitting down from standing,12,3,2266,2464
35,Sitting down from standing,12,4,3000,3198
35,Sitting down from standing,12,5,3679,3961
35,Sitting down from standing,12,6,4470,4668
35,Sitting down from standing,12,7,5120,5374
35,Sitting down from standing,12,8,5713,5968
35,Sitting down from standing,12,9,6307,6561
35,Sitting down from standing,12,10,6872,7154
35,Sitting down from standing,12,11,7494,7748
35,Sitting down from standing,12,12,8059,8228
35,Sitting down from standing,12,13,8539,8794
35,Sitting down from standing,12,14,9133,9415
35,Sitting down from standing,12,15,9783,9924
35,Sitting down from standing,12,16,10263,10404
35,Sitting down from standing,12,17,10800,10969
35,Sitting down from standing,12,18,11591,11753
35,Sitting down from standing,12,19,12100,12269
35,Sitting down from standing,12,20,12609,12859
36,Reading a book,1,1,8,5940
37,Writing on a notebook,2,1,3,5970
38,Typing,3,1,28,5997
39,Browsing,4,1,17,5988
40,Moving head and body,5,1,7,5714
41,Moving chair,6,1,12,5829
42,Stand up from sitting,7,1,261,465
42,Stand up from sitting,7,2,864,1063
42,Stand up from sitting,7,3,1612,1786
42,Stand up from sitting,7,4,2235,2459
42,Stand up from sitting,7,5,2933,3207
42,Stand up from sitting,7,6,3631,3831
42,Stand up from sitting,7,7,4279,4529
42,Stand up from sitting,7,8,5027,5252
42,Stand up from sitting,7,9,5725,6025
42,Stand up from sitting,7,10,6498,6698
42,Stand up from sitting,7,11,7146,7371
42,Stand up from sitting,7,12,7820,8094
42,Stand up from sitting,7,13,8518,8842
42,Stand up from sitting,7,14,9315,9465
42,Stand up from sitting,7,15,9914,10113
42,Stand up from sitting,7,16,10612,10811
42,Stand up from sitting,7,17,11285,11421
42,Sitting down from standing,12,1,618,856
42,Sitting down from standing,12,2,1263,1487
42,Sitting down from standing,12,3,1911,2160
42,Sitting down from standing,12,4,2559,2883
42,Sitting down from standing,12,5,3332,3531
42,Sitting down from standing,12,6,3930,4205
42,Sitting down from standing,12,7,4678,4928
42,Sitting down from standing,12,8,5426,5675
42,Sitting down from standing,12,9,6124,6349
42,Sitting down from standing,12,10,6797,7097
42,Sitting down from standing,12,11,7520,7745
42,Sitting down from standing,12,12,8144,8468
42,Sitting down from standing,12,13,8942,9116
42,Sitting down from standing,12,14,9615,9814
42,Sitting down from standing,12,15,10213,10512
42,Sitting down from standing,12,16,10911,11185
42,Sitting down from standing,12,17,11584,11730
43,Standing,8,1,258,7082
44,Walking,9,1,48,9621
45,Running,10,1,4,7341
46,Taking stairs,11,1,8,2659
47,Standing,8,1,14,6561
48,Walking,9,1,3,5890
49,Running,10,1,8,6872
50,Taking stairs,11,1,9,4109
51,Standing,8,1,1,6602
52,Walking,9,1,19,6727
53,Running,10,1,16,6616
54,Taking stairs,11,1,2,2444
55,Standing,8,1,40,6916
56,Walking,9,1,46,7158
57,Running,10,1,28,7140
58,Taking stairs,11,1,8,3809
59,Standing,8,1,5,5908
60,Walking,9,1,6,7730
61,Running,10,1,16,5530
62,Taking stairs,11,1,29,3523
63,Standing,8,1,10,6490
64,Walking,9,1,15,8709
65,Running,10,1,6,8562
66,Taking stairs,11,1,7,3905
